time,temperature,humidity
00:00:09,28.40,34.30
00:00:19,28.40,34.30
00:00:29,28.40,34.30
00:00:38,28.40,34.40
00:00:49,28.40,34.30
00:00:58,28.40,34.30
00:01:09,28.40,34.30
00:01:19,28.40,34.20
00:01:29,28.40,34.30
00:01:39,28.40,34.40
00:01:49,28.40,34.20
00:01:58,28.40,34.30
00:02:08,28.40,35.00
00:02:18,28.40,35.70
00:02:29,28.40,36.20
00:02:38,28.40,36.30
00:02:49,28.30,36.70
00:03:01,28.30,37.00
00:03:08,28.30,37.10
00:03:22,28.20,37.50
00:03:31,28.10,37.90
00:03:38,28.10,38.00
00:03:52,28.00,38.10
00:04:00,28.00,38.50
00:04:08,28.00,38.50
00:04:18,27.90,38.80
00:04:29,27.90,39.20
00:04:42,27.80,39.40
00:04:48,27.80,39.50
00:04:58,27.80,39.70
00:05:10,27.70,39.90
00:05:18,27.70,39.90
00:05:29,27.60,40.40
00:05:39,27.60,40.60
00:05:49,27.50,40.60
00:05:58,27.50,40.80
00:06:09,27.40,41.10
00:06:21,27.40,41.20
00:06:29,27.30,41.30
00:06:39,27.30,41.50
00:06:48,27.30,41.60
00:07:00,27.20,41.80
00:07:09,27.20,42.00
00:07:18,27.20,42.10
00:07:28,27.10,42.10
00:07:39,27.10,42.30
00:07:49,27.10,42.50
00:07:59,27.00,42.60
00:08:09,27.00,42.70
00:08:19,26.90,42.80
00:08:28,26.90,42.90
00:08:39,26.90,43.10
00:08:49,26.80,43.20
00:08:59,26.90,43.30
00:09:11,26.80,43.30
00:09:19,26.80,43.50
00:09:37,26.80,43.50
00:09:46,26.80,43.70
00:09:56,26.70,43.80
00:10:07,26.70,43.90
00:10:17,26.70,43.90
00:10:27,26.70,44.00
00:10:37,26.60,44.00
00:10:47,26.60,44.20
00:10:57,26.60,44.20
00:11:07,26.60,44.30
00:11:17,26.60,44.40
00:11:27,26.50,44.50
00:11:37,26.50,44.60
00:11:47,26.50,44.60
00:11:57,26.50,44.60
00:12:07,26.50,44.70
00:12:17,26.50,44.70
00:12:29,26.40,44.90
00:12:40,26.40,44.90
00:12:46,26.40,45.00
00:12:57,26.40,45.00
00:13:10,26.40,45.20
00:13:16,26.30,45.20
00:13:28,26.30,45.20
00:13:40,26.30,45.30
00:13:46,26.30,45.30
00:13:59,26.30,45.40
00:14:07,26.30,45.40
00:14:21,26.30,45.50
00:14:27,26.30,45.50
